"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-03-31,84471,"60419","IL","Chicago","Cook","Dolton",5182,77200,-0.00258397932816538,-0.0178117048346056,-0.103368176538908,-0.025847553321061,-0.0530843212087699,"2007-03","2007-Q1",142000,-0.456338028169014,"1996-07"
2016-03-31,99568,"98108","WA","Seattle","King","Seattle",5183,399900,0.0206738131699847,0.0338676318510858,0.128704487722269,0.0712224559532626,0.0183535480597619,"2016-03","2016-Q1",399900,0,"2016-03"
2016-03-31,89799,"72904","AR","Fort Smith","Sebastian","Fort Smith",5184,63700,-0.00156739811912226,0.0031496062992126,0.0599001663893511,0.00253087705019439,0.00735320507954751,"2010-01","2010-Q1",68200,-0.0659824046920821,"2009-03"
2016-03-31,73965,"36606","AL","Mobile","Mobile","Mobile",5185,72500,0.00138121546961326,0.00974930362116992,0.013986013986014,-0.0150226343780955,-0.0102894589984681,"2008-10","2008-Q4",93200,-0.222103004291845,"2004-12"
2016-03-31,61983,"11021","NY","New York","Nassau","Great Neck",5186,1157300,0.00129780238795639,0.0139302610828807,0.0816898775586503,0.058730294365184,0.0120065476641706,"2016-03","2016-Q1",1157300,0,"2016-03"
2016-03-31,65100,"17545","PA","Lancaster","Lancaster","Penn Township",5187,183100,-0.000545851528384279,-0.00272331154684096,0.00218938149972633,0.00691335778864421,0.000383110772217199,"2008-07","2008-Q3",190300,-0.0378349973725696,"2006-04"
2016-03-31,85865,"63020","MO","St. Louis","Jefferson","De Soto",5188,116000,-0.00599828620394173,-0.0210970464135021,0.0104529616724739,-0.00425547359619982,-0.00462169411812752,"2012-12","2012-Q4",147800,-0.215155615696888,"2005-09"
2016-03-31,96170,"90602","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Whittier",5189,489300,0.00431034482758621,0.0275094498110038,0.0885428253615128,0.0658553516154472,-0.0104868085374485,"2006-09","2006-Q3",559100,-0.1248434984797,"2005-08"
2016-03-31,77909,"46012","IN","Indianapolis","Madison","Anderson",5190,79300,-0.00125944584382872,-0.00998751560549313,0.0179717586649551,0.00538216641888933,-0.0238980478164259,"2005-06","2005-Q2",104400,-0.240421455938697,"1998-08"
2016-03-31,92804,"79065","TX","Pampa","Gray","Pampa",5191,85200,0.00828402366863905,0.0154946364719905,0.065,0.0374296878295108,,"2012-05","2012-Q2",87600,-0.0273972602739726,"2012-04"
2016-03-31,70359,"29204","SC","Columbia","Richland","Columbia",5192,102300,-0.00195121951219512,-0.00679611650485437,-0.03125,-0.0126074930509253,-0.00632374137797043,"2007-02","2007-Q1",114000,-0.102631578947368,"2005-03"
2016-03-31,77023,"44123","OH","Cleveland","Cuyahoga","Euclid",5193,62900,-0.00316957210776545,0.00801282051282051,0.0128824476650564,-0.0174859225071601,-0.0516529577858564,"2005-09","2005-Q3",108100,-0.418131359851989,
2016-03-31,71807,"32128","FL","Daytona Beach","Volusia","Port Orange",5194,258100,0.00310921103769918,0.0113636363636364,0.0687370600414079,0.0540210088067661,-0.0309915263607834,"2006-08","2006-Q3",356500,-0.27601683029453,"2004-09"
2016-03-31,91315,"76226","TX","Dallas-Fort Worth","Denton","Lantana",5195,363800,0.00497237569060773,0.019333146539647,0.0895477687930518,0.0587198915476772,0.0291671509421714,"2016-03","2016-Q1",363800,0,"2016-03"
2016-03-31,97066,"92868","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Orange",5196,457600,-0.000436871996505024,0.00815157523683631,0.0376417233560091,0.0652511084127116,-0.0229349151978054,"2006-07","2006-Q3",589500,-0.223748939779474,"2004-09"
2016-03-31,99613,"98177","WA","Seattle","King","Shoreline",5197,623100,0.0151515151515152,0.0475790181573638,0.151968940654465,0.0861503657045521,0.0274243572831725,"2016-03","2016-Q1",623100,0,"2016-03"
2016-03-31,66806,"21158","MD","Baltimore","Carroll","Westminster",5198,268400,-0.00334199777200149,-0.0099594245665806,-0.0407433881343817,0.00506872183874285,-0.0223582397841278,"2006-05","2006-Q2",337700,-0.205211726384365,"2004-10"
